Omavalitsus,Vaatlusperiood,"Asustustihedus, elanikku km2 kohta"
..Tartu linn,2014,2537.34536
..Tartu linn,2015,2497.61355
..Tartu linn,2016,2404.08006
..Alatskivi vald,2013,10.06
..Alatskivi vald,2014,9.9003
..Alatskivi vald,2015,10.01634
..Alatskivi vald,2016,9.95408
..Haaslava vald,2013,18.37
..Haaslava vald,2014,18.43301
..Haaslava vald,2015,18.47806
..Haaslava vald,2016,17.94102
..Kambja vald,2013,14.07
..Kambja vald,2014,14.05243
..Kambja vald,2015,14.18139
..Kambja vald,2016,13.75278
..Konguta vald,2013,12.55
..Konguta vald,2014,12.59294
..Konguta vald,2015,12.69635
..Konguta vald,2016,13.27261
..Laeva vald,2013,3.39
..Laeva vald,2014,3.41796
..Laeva vald,2015,3.33562
..Laeva vald,2016,3.19842
..Luunja vald,2013,32.94
..Luunja vald,2014,33.25224
..Luunja vald,2015,33.38139
..Luunja vald,2016,30.35362
..Meeksi vald,2013,3.78
..Meeksi vald,2014,3.73571
..Meeksi vald,2015,3.68747
..Meeksi vald,2016,4.05622
..Mäksa vald,2013,12.53
..Mäksa vald,2014,12.60208
..Mäksa vald,2015,12.49625
..Mäksa vald,2016,11.97183
..Nõo vald,2013,23.81
..Nõo vald,2014,23.76273
..Nõo vald,2015,23.76249
..Nõo vald,2016,23.19475
..Peipsiääre vald,2013,22.88
..Peipsiääre vald,2014,22.61712
..Peipsiääre vald,2015,21.17794
..Peipsiääre vald,2016,20.67669
..Piirissaare vald,2013,7.35
..Piirissaare vald,2014,8.37629
..Piirissaare vald,2015,7.15909
..Piirissaare vald,2016,11.25
..Puhja vald,2013,13.44
..Puhja vald,2014,13.32816
..Puhja vald,2015,13.26122
..Puhja vald,2016,13.30305
..Rannu vald,2013,9.68
..Rannu vald,2014,9.64496
..Rannu vald,2015,9.69832
..Rannu vald,2016,10.04128
..Rõngu vald,2013,17.40772
..Rõngu vald,2014,17.34681
..Rõngu vald,2015,17.14338
..Rõngu vald,2016,16.39324
..Tartu vald,2013,23.77
..Tartu vald,2014,24.03584
..Tartu vald,2015,24.73244
..Tartu vald,2016,23.03204
..Tähtvere vald,2013,25.86
..Tähtvere vald,2014,25.79493
..Tähtvere vald,2015,25.34122
..Tähtvere vald,2016,21.9508
..Vara vald,2013,5.63
..Vara vald,2014,5.6649
..Vara vald,2015,5.66117
..Vara vald,2016,5.51424
..Võnnu vald,2013,4.97
..Võnnu vald,2014,4.95637
..Võnnu vald,2015,4.94347
..Võnnu vald,2016,4.77153
..Ülenurme vald,2013,90.58
..Ülenurme vald,2014,91.81239
..Ülenurme vald,2015,94.45154
..Ülenurme vald,2016,82.03134
..Tõrva linn,2013,573.54
..Tõrva linn,2014,565.83333
..Tõrva linn,2015,561.58664
..Tõrva linn,2016,588.72651
..Valga linn,2013,766.81
..Valga linn,2014,751.9347
