Omavalitsus,Vaatlusperiood,Rahvaarv
..Kadrina vald,2013,4935
..Kadrina vald,2014,4912
..Kadrina vald,2015,4897
..Kadrina vald,2016,4896
..Laekvere vald,2013,1493
..Laekvere vald,2014,1475
..Laekvere vald,2015,1457
..Laekvere vald,2016,1512
..Rakke vald,2013,1608
..Rakke vald,2014,1589
..Rakke vald,2015,1569
..Rakke vald,2016,1631
..Rakvere vald,2013,2169
..Rakvere vald,2014,2121
..Rakvere vald,2015,2116
..Rakvere vald,2016,2056
..Rägavere vald,2013,890
..Rägavere vald,2014,871
..Rägavere vald,2015,852
..Rägavere vald,2016,821
..Sõmeru vald,2013,3784
..Sõmeru vald,2014,3698
..Sõmeru vald,2015,3666
..Sõmeru vald,2016,3424
..Tamsalu vald,2013,3834
..Tamsalu vald,2014,3808
..Tamsalu vald,2015,3767
..Tamsalu vald,2016,3820
..Tapa vald,2013,8026
..Tapa vald,2014,7849
..Tapa vald,2015,7739
..Tapa vald,2016,7578
..Vihula vald,2013,1671
..Vihula vald,2014,1694
..Vihula vald,2015,1684
..Vihula vald,2016,1918
..Vinni vald,2013,4935
..Vinni vald,2014,4847
..Vinni vald,2015,4806
..Vinni vald,2016,4689
..Karksi vald,2013,3218
..Karksi vald,2014,3159
..Karksi vald,2015,3113
..Karksi vald,2016,3333
..Kolga-Jaani vald,2013,1318
..Kolga-Jaani vald,2014,1308
..Kolga-Jaani vald,2015,1307
..Kolga-Jaani vald,2016,1429
..Kõo vald,2013,1026
..Kõo vald,2014,1020
..Kõo vald,2015,1009
..Kõo vald,2016,1047
..Kõpu vald,2013,702
..Kõpu vald,2014,679
..Kõpu vald,2015,665
..Kõpu vald,2016,633
..Paistu vald,2013,1411
..Pärsti vald,2013,3600
..Saarepeedi vald,2013,1318
..Suure-Jaani vald,2013,5220
..Suure-Jaani vald,2014,5186
..Suure-Jaani vald,2015,5105
..Suure-Jaani vald,2016,5248
..Tarvastu vald,2013,3359
..Tarvastu vald,2014,3284
..Tarvastu vald,2015,3215
..Tarvastu vald,2016,3321
..Viiratsi vald,2013,3457
..Viljandi vald,2014,9647
..Viljandi vald,2015,9517
..Viljandi vald,2016,9240
..Võru linn,2013,12782
..Võru linn,2014,12571
..Võru linn,2015,12458
..Võru linn,2016,12430
..Antsla vald,2013,3350
..Antsla vald,2014,3293
..Antsla vald,2015,3263
..Antsla vald,2016,3325
..Haanja vald,2013,984
..Haanja vald,2014,990
..Haanja vald,2015,969
..Haanja vald,2016,1084
..Lasva vald,2013,1597
..Lasva vald,2014,1599
..Lasva vald,2015,1593
..Lasva vald,2016,1684
..Meremäe vald,2013,944
..Meremäe vald,2014,945
..Meremäe vald,2015,939
..Meremäe vald,2016,1032
..Misso vald,2013,587
..Misso vald,2014,604
..Misso vald,2015,591
..Misso vald,2016,631
..Mõniste vald,2013,840
..Mõniste vald,2014,818
..Mõniste vald,2015,808
..Mõniste vald,2016,859
..Rõuge vald,2013,1968
..Rõuge vald,2014,1948
..Rõuge vald,2015,1980
..Rõuge vald,2016,2157
..Sõmerpalu vald,2013,1754
..Sõmerpalu vald,2014,1745
..Sõmerpalu vald,2015,1717
..Sõmerpalu vald,2016,1771
..Urvaste vald,2013,1155
..Urvaste vald,2014,1150
..Urvaste vald,2015,1131
..Urvaste vald,2016,1269
..Varstu vald,2013,1019
..Varstu vald,2014,1022
..Varstu vald,2015,1017
..Varstu vald,2016,1050
..Vastseliina vald,2013,1879
..Vastseliina vald,2014,1858
..Vastseliina vald,2015,1835
..Vastseliina vald,2016,1970
..Võru vald,2013,4967
..Võru vald,2014,4883
..Võru vald,2015,4871
..Võru vald,2016,4711
